"bio_year","latitude_rounded","longitude_rounded","slf_present","slf_established","DistToIntro","theta","sectors","rotation_nb","sectors_nb"
2019,39.74775,-74.68235,TRUE,TRUE,112.542973759143,2.54976758578399,20,1,9
2020,39.74775,-74.68235,TRUE,TRUE,112.542973759143,2.54976758578399,20,1,9
2014,40.41441,-75.65882,TRUE,TRUE,1.4051588379181,3.09139273385597,20,1,10
2015,40.40541,-75.55294,TRUE,TRUE,10.4465600000604,3.06145419227645,20,1,10
2016,40.38739,-75.28235,TRUE,TRUE,33.5046477545658,3.07084398839408,20,1,10
2017,40.30631,-75.04706,TRUE,TRUE,54.7212778546189,2.96992111329912,20,1,10
2018,40.25225,-74.70588,TRUE,TRUE,84.3456259936666,2.97502585763921,20,1,10
2019,40.02703,-74.41176,TRUE,TRUE,115.868441629074,2.84351587224179,20,1,10
2020,39.97297,-74.23529,TRUE,TRUE,132.088632231442,2.8436154467423,20,1,10
2014,40.42342,-75.63529,TRUE,TRUE,3.51828729564202,3.34306629859031,20,1,11
2015,40.43243,-75.43529,TRUE,TRUE,20.4607239827862,3.21308070447864,20,1,11
2016,40.46847,-75.23529,TRUE,TRUE,37.799208875831,3.26197132011503,20,1,11
2017,40.44144,-75.2,TRUE,TRUE,40.4410855788954,3.19665537926038,20,1,11
2018,40.56757,-74.71765,TRUE,TRUE,82.9344778668686,3.29933107038942,20,1,11
2019,40.76577,-74.02353,TRUE,TRUE,145.145932655873,3.35070021207216,20,1,11
2020,40.83784,-73.97647,TRUE,TRUE,151.202096666751,3.38539787501023,20,1,11
2014,40.43243,-75.64706,TRUE,TRUE,3.06648549597637,3.68776427987877,20,1,12
2015,40.47748,-75.57647,TRUE,TRUE,10.8682704294518,3.70343105174793,20,1,12
2016,40.63063,-75.35294,TRUE,TRUE,36.3102682767923,3.73057524223116,20,1,12
2017,40.61261,-75.2,TRUE,TRUE,45.8610403077959,3.53514926690495,20,1,12
2018,40.68468,-74.89412,TRUE,TRUE,72.6225532112587,3.47371366012821,20,1,12
2019,40.77477,-74.64706,TRUE,TRUE,95.760567889294,3.47794861408629,20,1,12
2020,40.9009,-74.41176,TRUE,TRUE,119.695512619484,3.50853736852266,20,1,12
2015,40.45946,-75.63529,TRUE,TRUE,5.97146500371422,3.97643428883908,20,1,13
2016,40.63063,-75.41176,TRUE,TRUE,32.725189605752,3.82671652864206,20,1,13
2017,40.78378,-75.27059,TRUE,TRUE,53.3714951509545,3.88019909680679,20,1,13
2018,40.86486,-75.12941,TRUE,TRUE,68.0112561789242,3.83055042759218,20,1,13
2019,41.0991,-75.10588,TRUE,TRUE,89.8858780541361,4.01801614760999,20,1,13
2020,41.37838,-74.62353,TRUE,TRUE,138.906740917857,3.88301313567633,20,1,13
2014,40.42342,-75.67059,TRUE,TRUE,0.993768046069547,4.18629306982255,20,1,14
2015,40.45045,-75.65882,TRUE,TRUE,4.15350950595535,4.27369593245872,20,1,14
2016,40.5045,-75.62353,TRUE,TRUE,10.8422160943374,4.18647663043125,20,1,14
2017,40.76577,-75.45882,TRUE,TRUE,43.0245183962058,4.15906125074998,20,1,14
2018,41.09009,-75.2,TRUE,TRUE,85.0149459954587,4.09874020268907,20,1,14
2019,41.17117,-75.27059,TRUE,TRUE,90.6298425137461,4.22079825490649,20,1,14
2020,41.17117,-75.27059,TRUE,TRUE,90.6298425137461,4.22079825490649,20,1,14
2014,40.43243,-75.67059,TRUE,TRUE,1.95092440714305,4.44279279104915,20,1,15
2015,40.47748,-75.67059,TRUE,TRUE,6.92306776594932,4.63621915079648,20,1,15
2016,40.52252,-75.64706,TRUE,TRUE,12.151788403002,4.45464319287881,20,1,15
2017,40.8018,-75.67059,TRUE,TRUE,42.9279590892206,4.70010172626815,20,1,15
2018,40.93694,-75.57647,TRUE,TRUE,58.5334893865637,4.52509513167416,20,1,15
2019,41.04505,-75.58824,TRUE,TRUE,70.3255499403952,4.57496498954435,20,1,15
2020,41.04505,-75.58824,TRUE,TRUE,70.3255499403952,4.57496498954435,20,1,15
2016,40.45946,-75.68235,TRUE,TRUE,4.94621416996602,4.86960627048658,20,1,16
2017,40.53153,-75.68235,TRUE,TRUE,12.9269524219166,4.7725964588848,20,1,16
2018,40.53153,-75.68235,TRUE,TRUE,12.9269524219166,4.7725964588848,20,1,16
2019,40.94595,-75.84706,TRUE,TRUE,60.6957838509802,5.02532382076609,20,1,16
2020,41.41441,-75.71765,TRUE,TRUE,111.017321343256,4.75470884419609,20,1,16
2015,40.46847,-75.69412,TRUE,TRUE,6.12180598335911,5.05156366915195,20,1,17
2016,40.5045,-75.70588,TRUE,TRUE,10.2446337680003,5.04205033784355,20,1,17
2017,40.6036,-75.78824,TRUE,TRUE,23.0012444146829,5.25235553261907,20,1,17
2018,40.76577,-75.81176,TRUE,TRUE,40.6019428664351,5.08353493298058,20,1,17
2019,40.91892,-75.95294,TRUE,TRUE,60.6580992194097,5.216109758276,20,1,17
2020,41.1982,-75.94118,TRUE,TRUE,89.7946750430592,5.03970795109784,20,1,17
2014,40.42342,-75.68235,TRUE,TRUE,1.08582118318457,5.42091456785644,20,1,18
2015,40.46847,-75.72941,TRUE,TRUE,7.48208657633103,5.50561550203587,20,1,18
2016,40.47748,-75.72941,TRUE,TRUE,8.29502426174175,5.42765901740916,20,1,18
2017,40.54054,-75.8,TRUE,TRUE,17.4737347580414,5.49522673971162,20,1,18
2018,40.91892,-76.08235,TRUE,TRUE,65.6722057183123,5.39203288444905,20,1,18
2019,40.94595,-76.16471,TRUE,TRUE,72.0054072025317,5.45728307514,20,1,18
