"bio_year","latitude_rounded","longitude_rounded","slf_present","slf_established","DistToIntro"
2014,39.79279,-76.83529,FALSE,FALSE,120.656719200692
2014,39.83784,-76.30588,FALSE,FALSE,83.659175601953
2014,39.84685,-76.43529,FALSE,FALSE,90.4339757974233
2014,39.85586,-76.61176,FALSE,FALSE,101.127197337925
2014,39.86486,-76.89412,FALSE,FALSE,120.507009338051
2014,39.88288,-76.50588,FALSE,FALSE,92.2076939602594
2014,39.9009,-76.77647,FALSE,FALSE,109.827948591846
2014,39.92793,-76.77647,FALSE,FALSE,108.281616611101
2014,39.92793,-76.24706,FALSE,FALSE,72.7970886179699
2014,39.93694,-76.8,FALSE,FALSE,109.52815360207
2014,39.94595,-76.8,FALSE,FALSE,109.04103421816
2014,39.95495,-76.34118,FALSE,FALSE,76.3385650665566
2014,39.96396,-76.61176,FALSE,FALSE,94.1791765989729
2014,39.98198,-77.22353,FALSE,FALSE,140.323884691875
2014,40,-76.32941,FALSE,FALSE,72.2950398002455
2014,40.02703,-76.55294,FALSE,FALSE,86.2440808065942
2014,40.04505,-76.51765,FALSE,FALSE,82.634493769462
2014,40.05405,-76.31765,FALSE,FALSE,67.7960473283135
2014,40.05405,-76.30588,FALSE,FALSE,66.9911051070374
2014,40.07207,-76.32941,FALSE,FALSE,67.4492595718717
2014,40.10811,-77.18824,FALSE,FALSE,133.137787872424
2014,40.11712,-77.2,FALSE,FALSE,133.845775440366
2014,40.16216,-76.63529,FALSE,FALSE,86.3289379170381
2014,40.21622,-75.8,FALSE,FALSE,24.5082641590385
2014,40.23423,-76.14118,FALSE,FALSE,44.4006037871722
2014,40.26126,-76.78824,FALSE,FALSE,96.0968625302738
2014,40.26126,-76.77647,FALSE,FALSE,95.1128981337638
2014,40.27928,-75.95294,FALSE,FALSE,28.0029824357033
2014,40.28829,-76.88235,FALSE,FALSE,103.503980792869
2014,40.28829,-76.87059,FALSE,FALSE,102.514343946931
2014,40.2973,-75.95294,FALSE,FALSE,26.9741683833858
2014,40.30631,-75.64706,FALSE,FALSE,12.3319846205511
2014,40.32432,-76.89412,FALSE,FALSE,104.003080507968
2014,40.32432,-75.91765,FALSE,FALSE,22.9227539147081
2014,40.32432,-75.88235,FALSE,FALSE,20.2741686196149
2014,40.32432,-75.65882,FALSE,FALSE,10.1929441221305
2014,40.32432,-75.64706,FALSE,FALSE,10.3776898648144
2014,40.33333,-75.48235,FALSE,FALSE,18.7444181378563
2014,40.34234,-75.81176,FALSE,FALSE,14.1327966788508
2014,40.34234,-75.69412,FALSE,FALSE,8.25055751988476
2014,40.34234,-75.68235,FALSE,FALSE,8.1168148340192
2014,40.34234,-75.67059,FALSE,FALSE,8.10499973058163
2014,40.34234,-75.64706,FALSE,FALSE,8.44367881512545
2014,40.34234,-75.63529,FALSE,FALSE,8.78040199811402
2014,40.35135,-75.90588,FALSE,FALSE,20.8220609359646
2014,40.35135,-75.70588,FALSE,FALSE,7.55358861841753
2014,40.35135,-75.69412,FALSE,FALSE,7.27149277804222
2014,40.35135,-75.68235,FALSE,FALSE,7.11940181987562
2014,40.35135,-75.65882,FALSE,FALSE,7.23183037686735
2014,40.35135,-75.64706,FALSE,FALSE,7.489872535682
2014,40.35135,-75.54118,FALSE,FALSE,13.4205829481958
2014,40.35135,-75.49412,FALSE,FALSE,16.9448567925918
2014,40.36036,-76.17647,FALSE,FALSE,42.9844683122509
2014,40.36036,-75.70588,FALSE,FALSE,6.62276090575477
2014,40.36036,-75.67059,FALSE,FALSE,6.10732184792159
2014,40.36937,-75.70588,TRUE,FALSE,5.71551767888759
2014,40.36937,-75.68235,FALSE,FALSE,5.12815953736621
2014,40.36937,-75.64706,FALSE,FALSE,5.63106448090794
2014,40.37838,-76.68235,FALSE,FALSE,85.5900964363496
2014,40.37838,-76.03529,FALSE,FALSE,30.8317244879625
2014,40.37838,-76.02353,FALSE,FALSE,29.8424628463833
2014,40.37838,-75.69412,FALSE,FALSE,4.39258788330592
2014,40.37838,-75.67059,FALSE,FALSE,4.11283568962571
2014,40.37838,-75.65882,FALSE,FALSE,4.32664090224839
2014,40.37838,-75.64706,FALSE,FALSE,4.74522116213167
2014,40.37838,-75.63529,FALSE,FALSE,5.32106967454768
2014,40.37838,-75.62353,FALSE,FALSE,6.00832317030412
2014,40.37838,-75.49412,FALSE,FALSE,15.9202640986767
2014,40.38739,-76.04706,FALSE,FALSE,31.7071485069996
2014,40.38739,-76.03529,FALSE,FALSE,30.7128920946372
2014,40.38739,-75.76471,FALSE,FALSE,8.19286474344292
2014,40.38739,-75.75294,FALSE,FALSE,7.27738330333874
2014,40.38739,-75.72941,FALSE,FALSE,5.53468851228087
2014,40.38739,-75.71765,FALSE,FALSE,4.73968142718527
2014,40.38739,-75.70588,FALSE,FALSE,4.03550473897116
2014,40.38739,-75.69412,TRUE,FALSE,3.47928620439142
2014,40.38739,-75.67059,TRUE,TRUE,3.11870784967468
2014,40.38739,-75.65882,TRUE,TRUE,3.39565933178975
2014,40.38739,-75.63529,FALSE,FALSE,4.59599661264772
2014,40.38739,-75.62353,FALSE,FALSE,5.37664506691369
2014,40.38739,-75.61176,FALSE,FALSE,6.22060451155119
