"DistToIntro","bio_year","latitude_rounded","longitude_rounded","slf_present","slf_established","theta","DistToSLF"
58.2059790509704,2017,39.92793,-75.42353,TRUE,TRUE,2.04774191333146,44546.7237147704
56.909139596593,2017,39.93694,-75.43529,TRUE,TRUE,2.03594813388408,43671.0286010595
74.3823797744509,2017,40.08108,-74.91765,TRUE,TRUE,2.72622761353267,90152.8206481896
92.0395110791072,2018,40.22523,-76.72941,TRUE,TRUE,0.178347837782933,96938.5990133963
98.2497740813948,2018,40.25225,-76.81176,TRUE,TRUE,0.142452614893056,104393.086442517
97.2677452647258,2018,40.25225,-76.8,TRUE,TRUE,0.14392178922503,103572.836080136
103.97544836905,2018,40.26126,-76.88235,TRUE,TRUE,0.126886064384971,109928.40205217
102.98994737997,2018,40.26126,-76.87059,TRUE,TRUE,0.128120937562566,109094.369219859
100.033402372633,2018,40.26126,-76.83529,TRUE,TRUE,0.131975495819338,106608.496904745
97.0803196320693,2018,40.26126,-76.8,TRUE,TRUE,0.136066507464348,104151.25919391
96.0968625302738,2018,40.26126,-76.78824,TRUE,TRUE,0.13748636253709,103338.960680356
94.1301087493222,2018,40.26126,-76.76471,TRUE,TRUE,0.140417539463651,101723.972296765
93.1468337302252,2018,40.26126,-76.75294,TRUE,TRUE,0.141930833208781,100921.453224058
103.80888979968,2018,40.27027,-76.88235,TRUE,TRUE,0.119534119849019,110481.873958503
92.9624002837492,2018,40.27027,-76.75294,TRUE,TRUE,0.133727541877339,101525.275776199
103.651719669566,2018,40.27928,-76.88235,TRUE,TRUE,0.112169168781007,111041.601657526
104.494637826037,2018,40.28829,-76.89412,TRUE,TRUE,0.103787267421389,112432.230317076
103.503980792869,2018,40.28829,-76.88235,TRUE,TRUE,0.104791977659424,111607.491070233
104.357552031142,2018,40.2973,-76.89412,TRUE,TRUE,0.0964685307940805,112999.905691126
104.229888579543,2018,40.30631,-76.89412,TRUE,TRUE,0.0891394130074703,113573.557279229
104.111682177789,2018,40.31532,-76.89412,TRUE,TRUE,0.0818006809328558,114153.095026062
104.003080507968,2018,40.32432,-76.89412,TRUE,TRUE,0.0744612671194527,114737.776949709
255.991697359764,2018,39.15315,-78.17647,TRUE,TRUE,0.467327144144186,212820.690788023
255.149376939536,2018,39.15315,-78.16471,TRUE,TRUE,0.469225334881443,211852.431466979
256.279907421317,2018,39.16216,-78.18824,TRUE,TRUE,0.46257416956396,213489.627541765
255.726593906195,2018,39.17117,-78.18824,TRUE,TRUE,0.4596985843335,213193.340458024
254.878913235133,2018,39.17117,-78.17647,TRUE,TRUE,0.461567990845257,212221.372229394
254.033121228179,2018,39.17117,-78.16471,TRUE,TRUE,0.463449949103754,211250.615253148
253.187791204825,2018,39.17117,-78.15294,TRUE,TRUE,0.465347807547425,210279.423944593
253.479067495753,2018,39.18018,-78.16471,TRUE,TRUE,0.460549675623809,210956.174792768
252.631992838594,2018,39.18018,-78.15294,TRUE,TRUE,0.462439259697309,209983.746576474
252.927753698104,2018,39.18919,-78.16471,TRUE,TRUE,0.457641031537617,210666.070320008
252.078935965866,2018,39.18919,-78.15294,TRUE,TRUE,0.459522253232623,209692.421864455
253.230185631578,2018,39.1982,-78.17647,TRUE,TRUE,0.452867070602162,211354.700226016
252.379197809497,2018,39.1982,-78.16471,TRUE,TRUE,0.454724029983076,210380.319794325
251.528638688942,2018,39.1982,-78.15294,TRUE,TRUE,0.456596801058351,209405.467996967
253.540706334405,2018,39.20721,-78.18824,TRUE,TRUE,0.448114267346558,212051.220924946
252.686134039952,2018,39.20721,-78.17647,TRUE,TRUE,0.449950232596652,211074.495544724
251.833417870602,2018,39.20721,-78.16471,TRUE,TRUE,0.451798684742581,210098.941002944
250.98111917825,2018,39.20721,-78.15294,TRUE,TRUE,0.453662916732543,209122.902988971
250.13069789691,2018,39.20721,-78.14118,TRUE,TRUE,0.455539911856061,208148.044899416
252.144874492016,2018,39.21622,-78.17647,TRUE,TRUE,0.447025152825916,210798.662981807
251.290431987218,2018,39.21622,-78.16471,TRUE,TRUE,0.448865010248704,209821.951555979
250.436395671094,2018,39.21622,-78.15294,TRUE,TRUE,0.450720614472171,208844.744676987
248.732492630607,2018,39.21622,-78.12941,TRUE,TRUE,0.454473389225152,206892.185182335
250.750258328976,2018,39.22523,-78.16471,TRUE,TRUE,0.445923021589782,209549.36888157
249.040575180961,2018,39.22523,-78.14118,TRUE,TRUE,0.449629522733209,207593.812296846
248.1870839618,2018,39.22523,-78.12941,TRUE,TRUE,0.451505178806756,206616.116412303
247.335474958933,2018,39.22523,-78.11765,TRUE,TRUE,0.453393845901664,205639.589162499
247.645112808709,2018,39.23423,-78.12941,TRUE,TRUE,0.448531707923631,206344.824343398
246.791743760837,2018,39.23423,-78.11765,TRUE,TRUE,0.450411504728439,205367.132730953
246.25026458308,2018,39.24324,-78.11765,TRUE,TRUE,0.447417208648498,205098.884912992
90.3996488994422,2018,39.66667,-75.25882,TRUE,TRUE,2.07855584905864,42513.5246180814
105.425846048594,2018,40.47748,-74.43529,TRUE,TRUE,3.19174209440249,144937.605268619
85.1559202971072,2018,41.05405,-75.11765,TRUE,TRUE,3.99468496774492,160284.66063619
83.3716100221508,2018,41.06306,-75.17647,TRUE,TRUE,4.05616316708375,159456.352945362
84.7362733306651,2018,41.07207,-75.16471,TRUE,TRUE,4.05157140999863,160735.56962751
141.244068775813,2018,40.56757,-77.32941,TRUE,TRUE,6.19135030292623,160489.745003098
74.7424438416162,2018,41.00901,-75.25882,TRUE,TRUE,4.10066791165158,151516.861337117
