"","Int_est","DJ_est","DN_est","AC_est","Intp","DJp","DNp","ACp","Rsquared","Adj Rsquared"
"3352",5.80957103437827,-0.933693351718813,0.514104126779388,9.94983935871152e-05,2.79128539199099e-46,1.34122583878855e-05,0.0188533626530282,1.85694322794702e-05,0.143102685176763,0.136691982073347
"3353",5.29982167265917,-0.85264058056746,0.930481042833619,0.000121345464952054,8.47382478915261e-53,1.00816010084407e-05,3.53828582881962e-06,1.97415553450473e-13,0.261800952784345,0.256278266645574
"3354",5.32412080368568,-0.676227954701843,0.757612354973454,0.000123171657553781,1.50548841146652e-47,0.000759068670849503,0.000176769251228354,8.46049978473393e-09,0.181849331142874,0.175728503196312
"3355",5.34698889839878,-0.765314871445568,0.93326213260402,0.00011542691702052,1.24914176767962e-55,6.29016540798138e-05,1.22679816760478e-06,3.87849488316796e-12,0.257727710752454,0.252174551481275
"3356",5.41561108020044,-0.843953146141719,0.669201000889645,0.000123569763583373,6.14328175575709e-58,1.57286438842875e-05,0.000715317927059727,3.36998432211938e-11,0.205732793607752,0.199790644931501
"3357",6.01306214651551,-1.06353248169508,0.519275028802433,8.64062842760962e-05,3.96630180538491e-50,8.78941086269659e-08,0.00996828535605609,3.81358636920141e-05,0.183719733028317,0.177612898113317
"3358",5.15566420906173,-0.752761321864616,0.712277965179621,0.000142343792701092,1.76734945161146e-51,5.96358476856464e-05,0.000155841333712497,2.92649435771188e-14,0.252180248459763,0.246585586976918
"3359",5.56775759140198,-0.823409589137271,0.758181870552286,0.000106463364344645,2.81598909566005e-45,6.35350354382461e-05,0.000397513903252355,2.92617924104622e-06,0.155412071303979,0.149093458371091
"3360",5.08183814944101,-0.716563374558574,0.994596522442229,0.000133419588508144,8.16972257826332e-49,0.000167590489515329,4.1684886005485e-07,3.25175689161526e-14,0.263862132813752,0.258354866974453
"3361",5.48386912661268,-0.792379975448041,0.834264982260847,0.00010619827974811,1.97839837792177e-49,0.00011288047750513,6.25910790710071e-05,4.36611157602703e-09,0.207094509188209,0.201162547910315
"3362",5.53186538599182,-0.720326197180792,0.857599017012032,0.000101826510856029,5.18655862545645e-59,0.00017675571084363,7.28207219945433e-06,2.60758920090225e-10,0.237969652278467,0.23226867710848
"3363",5.37441131708413,-0.674080096997681,0.93713841995602,0.000110824581233885,2.05311599979373e-52,0.000785863022257599,4.76008747231512e-06,3.26752457484043e-10,0.21419734872081,0.208318525893285
"3364",5.3802428724564,-0.865120496156625,0.623178468572974,0.000122807982655706,4.98443273847726e-49,1.70735077665146e-05,0.00234344115292999,1.32657088751361e-10,0.203842143477058,0.197885850286113
"3365",5.28883100173825,-0.767676583060401,0.612474799516547,0.000130516865830599,1.35780117553412e-52,9.0011288352909e-05,0.00193763373155202,1.44222927443465e-12,0.218455400907306,0.212608433831799
"3366",5.26796456962274,-0.745553895766201,0.996412070614541,0.000116211765828901,1.08059456085817e-52,0.000154290387087902,6.13960917453465e-07,6.49017353365227e-12,0.24559947863258,0.239955584457761
"3367",5.32005670732535,-0.765509481638408,0.997085312432973,0.000114295108705338,4.71438065380784e-60,2.98558129487616e-05,5.18799297887127e-08,2.7410049572024e-14,0.301016725934156,0.295787424631918
"3368",5.3316100690933,-0.801871729433427,0.936870303569511,0.00011580958954641,1.27622464885337e-52,3.64264435400061e-05,1.64234110518473e-06,6.95036278925339e-12,0.257310608264463,0.251754328525793
"3369",5.19345042570118,-0.792536339771092,0.715506925795274,0.000135453559173862,6.04503329892137e-46,5.36504263537012e-05,0.000300909034650088,2.05425454742838e-12,0.236237692451675,0.230523759976251
"3370",5.22244438807369,-0.709307099206917,1.05527057973263,0.00012391832429674,2.14013175847914e-58,0.000114271172190147,1.75486393259531e-08,1.11767534410441e-13,0.275353542760623,0.269932247569306
"3371",5.40260840168662,-0.839693228864724,0.812251235159092,0.000126398866418488,1.81605515909232e-50,7.11736956917985e-06,1.69477719531165e-05,6.71640535314464e-11,0.255617480745157,0.250048534217065
"3372",5.39906975412008,-0.723020013181956,0.896488205497649,0.00011758560142942,8.51725014215493e-48,0.00037464577241783,1.51895920550936e-05,5.82988036599303e-10,0.22337809775636,0.217567958836831
"3373",5.1652128042822,-0.676514798831108,0.930562338351116,0.000137356739519116,5.80742852818621e-50,0.000285264873152683,1.18581098904638e-06,5.11684589914418e-12,0.237769308266352,0.232066834263357
"3374",5.12727319577072,-0.626890117585294,0.890514487321943,0.000119922620814733,2.05715210895323e-49,0.00183699705249745,7.58430464113356e-06,1.4467155275873e-14,0.263066206718087,0.257552986319469
"3375",5.6497839349119,-0.88759859598132,0.690504658971686,9.95885960891477e-05,8.13161188640848e-49,1.12600412279519e-05,0.000499233758213553,9.82508069041356e-08,0.213812525153831,0.207930823347001
"3376",5.36957857854504,-0.601166479240835,1.06048757542939,0.000109911531568356,8.45991388918484e-56,0.00209034445980679,9.22042937113938e-08,1.13509839648263e-09,0.22205495127785,0.216234913506861
"3377",5.2440802960109,-0.77320917671471,0.827550938940485,0.000129821405462149,7.48009357860975e-53,3.46449014841236e-05,9.4987676579704e-06,2.37211674240629e-13,0.265613668148561,0.260119506064885
"3378",5.70403019348852,-0.951656984248877,0.572254564060525,0.000104424513657065,7.71653815008559e-59,1.17096508897454e-06,0.00312602983422484,6.12856522287354e-10,0.230170108072343,0.224410782197573
"3379",4.98452162073159,-0.587952060839955,1.15797033819115,0.000125986456405148,5.37294840744241e-56,0.00183121368103062,1.16807573655264e-09,3.18554540525558e-18,0.314743165104751,0.30961655536738
"3380",5.69151246527834,-0.94675371951757,0.504652955170505,0.000109444269613801,4.78423498174362e-63,4.3251961970122e-07,0.00623969306691612,4.08665453658325e-11,0.244792938690473,0.239143010551
"3381",5.23890986700772,-0.582374131752649,1.14617193069836,0.000107104668855684,7.82859028258745e-46,0.00464597096437979,1.41936471950812e-08,1.88009281982345e-10,0.257525598659672,0.251970927327949
"3382",5.72435981100411,-0.896951146386684,0.820391592923657,9.32761742772293e-05,1.10378399575761e-70,1.89006879393366e-06,1.19853788042172e-05,4.05211081928051e-11,0.260764653819132,0.255234214820273
"3383",5.39590785236639,-0.668682713461195,0.80334691304234,0.000110730882048778,5.2373644823374e-50,0.000955743218499912,6.29090016186474e-05,4.7232422959472e-10,0.215956233216661,0.210090569126012
